순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가총액,시가총액비중(%),상장주식수(천주),외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"2,304,000","20,000","0.9","272,273","627,680,056,400","301,060,210,176,000","17.29","130,668,494",,,2262
2,000660,SK하이닉스,"57,100","1,300","2.3","3,145,737","178,594,395,600","41,568,935,041,500","2.39","728,002,365",,,
3,005380,현대차,"163,500","-1,500","-0.9","487,868","80,264,654,000","36,015,204,316,500","2.07","220,276,479",,,
4,005935,삼성전자우,"1,806,000","20,000","1.1","39,584","71,252,780,000","33,670,305,480,000","1.93","18,643,580",,,
5,035420,NAVER,"855,000","3,000","0.4","61,658","52,921,225,000","28,183,090,545,000","1.62","32,962,679",,,
6,012330,현대모비스,"281,500","-1,500","-0.5","309,017","87,420,933,250","27,402,297,434,500","1.57","97,343,863",,,
7,015760,한국전력,"42,450","-150","-0.4","1,555,169","66,019,753,193","27,251,375,068,650","1.56","641,964,077",,,
8,028260,삼성물산,"134,000","1,000","0.8","560,796","75,197,540,500","25,418,465,762,000","1.46","189,690,043",,,
9,032830,삼성생명,"125,000","500","0.4","294,459","36,919,709,500","25,000,000,000,000","1.44","200,000,000",,,
10,005490,POSCO,"284,000","-3,500","-1.2","297,013","84,432,233,500","24,761,061,140,000","1.42","87,186,835",,,
11,055550,신한지주,"49,650","250","0.5","817,677","40,617,445,400","23,544,009,494,550","1.35","474,199,587",,,
12,105560,KB금융,"54,500","700","1.3","1,462,696","79,383,119,700","22,787,078,766,500","1.31","418,111,537",,,
13,051910,LG화학,"304,500","8,500","2.9","538,283","162,466,094,500","21,495,368,443,500","1.23","70,592,343",,,
14,017670,SK텔레콤,"254,500","5,000","2.0","163,064","41,467,625,500","20,549,783,449,500","1.18","80,745,711",,,
15,090430,아모레퍼시픽,"351,500","1,500","0.4","103,616","36,330,140,500","20,548,159,235,000","1.18","58,458,490",,,
16,034730,SK,"274,500","-6,000","-2.1","271,968","75,183,460,000","19,313,901,526,500","1.11","70,360,297",,,
17,000270,기아차,"38,850","-100","-0.3","846,512","32,875,542,150","15,748,366,030,950","0.90","405,363,347",,,
18,051900,LG생활건강,"995,000","5,000","0.5","18,633","18,493,285,000","15,540,106,015,000","0.89","15,618,197",,,
19,096770,SK이노베이션,"167,500","-2,000","-1.2","316,773","53,058,932,000","15,487,981,970,000","0.89","92,465,564",,,
20,033780,KT&G,"110,500","1,500","1.4","270,287","29,750,007,000","15,170,820,918,500","0.87","137,292,497",,,
21,207940,삼성바이오로직스,"213,500","9,500","4.7","432,433","91,078,262,000","14,126,227,500,000","0.81","66,165,000",,,
22,003550,LG,"79,700","-1,100","-1.4","477,637","38,194,846,456","13,752,803,340,700","0.79","172,557,131",,,
23,000810,삼성화재,"290,000","30","0.0","108,001","31,379,452,500","13,738,702,730,000","0.79","47,374,837",,,
24,066570,LG전자,"81,900","-400","-0.5","665,382","54,412,167,800","13,402,755,966,600","0.77","163,647,814",,,
25,011170,롯데케미칼,"376,000","-500","-0.1","175,841","66,188,020,000","12,887,557,544,000","0.74","34,275,419",,,
26,018260,삼성에스디에스,"161,500","500","0.3","121,580","19,599,864,500","12,496,514,700,000","0.72","77,377,800",,,
27,086790,하나금융지주,"42,200","800","1.9","1,164,694","48,597,689,800","12,491,329,216,400","0.72","296,003,062",,,
28,002790,아모레G,"151,000","1,000","0.7","82,118","12,389,635,500","12,451,185,180,000","0.71","82,458,180",,,
29,251270,넷마블게임즈,"142,000","-2,000","-1.4","791,714","111,694,852,000","12,031,660,000,000","0.69","84,730,000",,,
30,068270,셀트리온,"93,800","30","0.0","409,779","38,530,787,900","11,500,292,813,800","0.66","122,604,401",,,
31,010950,S-Oil,"102,000","-1,000","-1.0","401,312","40,923,825,500","11,483,444,784,000","0.66","112,582,792",,,
32,006400,삼성SDI,"159,500","3,000","1.9","267,846","42,668,218,000","10,967,942,535,000","0.63","68,764,530",,,
33,034220,LG디스플레이,"30,050","1,200","4.2","5,303,654","158,226,304,550","10,752,361,785,000","0.62","357,815,700",,,
34,000030,우리은행,"15,450","-50","-0.3","1,629,450","24,992,403,050","10,444,200,000,000","0.60","676,000,000",,,
35,009540,현대중공업,"179,000","500","0.3","286,869","51,428,015,500","10,143,111,254,000","0.58","56,665,426",,,
36,023530,롯데쇼핑,"276,000","5,500","2.0","141,616","39,339,988,500","8,691,486,192,000","0.50","31,490,892",,,
37,030200,KT,"32,450","150","0.5","745,502","25,242,048,246","8,473,078,169,600","0.49","261,111,808",,,
38,010130,고려아연,"438,000","4,000","0.9","66,380","29,017,625,650","8,265,060,000,000","0.47","18,870,000",,,
39,036570,엔씨소프트,"376,500","11,500","3.2","262,536","97,874,008,000","8,256,276,783,000","0.47","21,929,022",,,
40,004020,현대제철,"59,500","400","0.7","425,377","25,182,832,200","7,940,024,207,500","0.46","133,445,785",,,
41,035250,강원랜드,"36,550","-150","-0.4","285,090","10,441,537,050","7,819,525,275,000","0.45","213,940,500",,,
42,021240,코웨이,"99,800","600","0.6","139,107","13,886,431,400","7,545,754,647,200","0.43","75,608,764",,,
43,161390,한국타이어,"60,500","-500","-0.8","276,519","16,787,052,880","7,494,441,674,500","0.43","123,875,069",,,
44,024110,기업은행,"12,750","-50","-0.4","1,885,868","24,002,222,000","7,139,729,891,250","0.41","559,978,815",,,
45,032640,LG유플러스,"15,700","50","0.3","2,356,101","36,879,006,800","6,854,798,367,700","0.39","436,611,361",,,
46,035720,카카오,"99,700","1,100","1.1","495,326","49,534,863,700","6,757,779,159,500","0.39","67,781,135",,,
47,078930,GS,"72,000","400","0.6","291,174","20,905,123,800","6,689,907,216,000","0.38","92,915,378",,,
48,006800,미래에셋대우,"9,800","-60","-0.6","3,947,103","38,906,460,670","6,529,900,798,400","0.37","666,316,408",,,
49,139480,이마트,"229,500","-1,500","-0.6","77,916","17,929,449,500","6,397,500,460,500","0.37","27,875,819",,,
50,027410,BGF리테일,"129,000","-500","-0.4","113,577","14,782,847,500","6,391,643,625,000","0.37","49,547,625",,,
51,001040,CJ,"219,000","1,500","0.7","75,146","16,457,816,500","6,389,762,562,000","0.37","29,176,998",,,
52,047810,한국항공우주,"64,100","1,200","1.9","546,816","34,840,639,400","6,248,154,358,700","0.36","97,475,107",,,
53,009150,삼성전기,"82,300","-100","-0.1","452,177","37,266,315,800","6,147,291,180,800","0.35","74,693,696",,,
54,088350,한화생명,"7,000","20","0.3","1,029,544","7,201,988,870","6,079,710,000,000","0.35","868,530,000",,,
55,086280,현대글로비스,"157,500","1,000","0.6","145,713","23,085,397,500","5,906,250,000,000","0.34","37,500,000",,,
56,004800,효성,"162,500","-3,500","-2.1","180,226","29,492,357,000","5,706,586,437,500","0.33","35,117,455",,,
57,018880,한온시스템,"10,350","50","0.5","1,048,807","10,831,195,550","5,524,830,000,000","0.32","533,800,000",,,
58,000720,현대건설,"49,050","-300","-0.6","473,099","23,206,244,450","5,462,000,273,250","0.31","111,355,765",,,
59,267250,현대로보틱스,"432,000","16,000","3.8","139,977","59,870,441,500","5,201,461,872,000","0.30","12,040,421",,,
60,009240,한샘,"219,500","-500","-0.2","61,183","13,545,040,000","5,165,697,196,000","0.30","23,533,928",,,
61,097950,CJ제일제당,"380,000","4,500","1.2","50,929","19,254,441,000","5,002,699,240,000","0.29","13,164,998",,,
62,010140,삼성중공업,"12,500","-200","-1.6","4,781,324","60,124,679,100","4,875,000,000,000","0.28","390,000,000",,,
63,029780,삼성카드,"41,850","1,650","4.1","274,269","11,331,708,600","4,848,694,588,350","0.28","115,858,891",,,
64,009830,한화케미칼,"29,250","-50","-0.2","995,702","29,149,358,600","4,820,673,750,750","0.28","164,809,359",,,
65,005830,동부화재,"67,600","-300","-0.4","168,744","11,410,018,200","4,786,080,000,000","0.27","70,800,000",,,
66,036460,한국가스공사,"51,700","200","0.4","244,634","12,557,632,900","4,772,582,100,000","0.27","92,313,000",,,
67,001800,오리온,"783,000","25,000","3.3","60,804","47,248,510,000","4,704,604,605,000","0.27","6,008,435",,,
68,000120,CJ대한통운,"192,000","6,000","3.2","105,260","19,997,070,500","4,379,970,048,000","0.25","22,812,344",,,
69,008930,한미사이언스,"69,200","200","0.3","137,248","9,486,301,400","4,309,767,280,800","0.25","62,279,874",,,
70,002380,KCC,"408,000","500","0.1","76,108","31,319,259,500","4,307,057,304,000","0.25","10,556,513",,,
71,007070,GS리테일,"55,200","600","1.1","232,945","12,829,376,500","4,250,400,000,000","0.24","77,000,000",,,
72,005387,현대차2우B,"111,000","-500","-0.4","167,534","18,520,939,000","4,175,139,015,000","0.24","37,613,865",,,
73,005940,NH투자증권,"14,650","-50","-0.3","1,069,119","15,706,590,950","4,122,640,194,550","0.24","281,408,887",,,
74,128940,한미약품,"364,000","500","0.1","89,774","32,875,836,000","4,063,496,528,000","0.23","11,163,452",,,
75,012630,현대산업,"50,900","-400","-0.8","463,407","23,875,891,500","3,837,054,762,000","0.22","75,384,180",,,
76,012750,에스원,"100,000","-1,500","-1.5","57,965","5,829,604,700","3,799,917,800,000","0.22","37,999,178",,,
77,241560,두산밥캣,"37,400","-200","-0.5","341,307","12,860,608,850","3,749,318,808,400","0.22","100,249,166",,,
78,016360,삼성증권,"40,200","350","0.9","574,791","23,138,514,400","3,589,860,000,000","0.21","89,300,000",,,
79,000880,한화,"46,200","-1,250","-2.6","547,656","25,546,437,300","3,463,093,557,000","0.20","74,958,735",,,
80,071050,한국금융지주,"61,100","1,000","1.7","167,239","10,197,527,400","3,404,858,111,200","0.20","55,725,992",,,
81,003490,대한항공,"35,500","250","0.7","1,025,325","36,572,759,550","3,366,984,507,000","0.19","94,844,634",,,
82,001450,현대해상,"37,250","-350","-0.9","269,666","10,086,740,450","3,330,150,000,000","0.19","89,400,000",,,
83,138930,BNK금융지주,"9,920","10","0.1","875,388","8,685,656,560","3,233,277,640,320","0.19","325,935,246",,,
84,047040,대우건설,"7,740","-50","-0.6","2,336,480","18,162,218,890","3,216,919,218,120","0.18","415,622,638",,,
85,026960,동서,"32,050","-750","-2.3","172,325","5,525,126,000","3,195,385,000,000","0.18","99,700,000",,,
86,011070,LG이노텍,"133,000","3,000","2.3","190,223","25,253,086,500","3,147,725,231,000","0.18","23,667,107",,,
87,000210,대림산업,"89,900","500","0.6","449,418","40,752,990,200","3,128,520,000,000","0.18","34,800,000",,,
88,004990,롯데제과,"213,500","1,000","0.5","15,922","3,392,847,500","3,034,689,000,000","0.17","14,214,000",,,
89,130960,CJ E&M,"78,000","-300","-0.4","257,678","20,187,397,100","3,021,102,942,000","0.17","38,732,089",,,
90,047050,포스코대우,"24,000","-1,100","-4.4","978,943","23,716,032,850","2,961,003,576,000","0.17","123,375,149",,,
91,042660,대우조선해양,"44,800","0","0.0","0","0","2,937,847,808,000","0.17","65,576,960",,,
92,000100,유한양행,"248,500","4,000","1.6","50,862","12,585,268,500","2,898,975,156,000","0.17","11,665,896",,,
93,028670,팬오션,"5,420","40","0.7","2,435,617","13,206,852,030","2,896,895,551,080","0.17","534,482,574",,,
94,088980,맥쿼리인프라,"8,730","30","0.0","306,504","2,671,367,360","2,893,640,046,930","0.17","331,459,341",,,
95,008560,메리츠종금증권,"4,745","135","2.9","4,521,254","21,306,985,260","2,873,766,886,640","0.16","605,641,072",,,
96,086900,메디톡스,"506,800","1,800","0.4","33,235","16,795,735,300","2,866,731,938,000","0.16","5,656,535",,,
97,007310,오뚜기,"825,000","5,000","0.6","4,017","3,298,609,000","2,838,000,000,000","0.16","3,440,000",,,
98,012450,한화테크윈,"50,800","1,550","3.2","537,594","26,942,370,300","2,699,004,000,000","0.15","53,130,000",,,
99,005385,현대차우,"105,000","-500","-0.5","65,462","6,901,711,000","2,636,548,110,000","0.15","25,109,982",,,
100,069960,현대백화점,"112,500","5,500","5.1","257,177","28,587,412,000","2,632,774,612,500","0.15","23,402,441",,,
101,079440,아이엔지생명,"31,450","-200","-0.6","323,300","10,180,994,390","2,578,900,000,000","0.15","82,000,000",,,
102,028050,삼성엔지니어링,"12,900","50","0.4","3,952,371","51,151,174,200","2,528,400,000,000","0.15","196,000,000",,,
103,034020,두산중공업,"23,500","-550","-2.3","1,455,447","34,303,979,250","2,501,753,271,000","0.14","106,457,586",,,
104,011780,금호석유,"82,100","2,300","2.9","361,212","29,513,765,400","2,501,397,431,100","0.14","30,467,691",,,
105,204320,만도,"262,000","-500","-0.2","65,105","17,080,424,500","2,460,553,088,000","0.14","9,391,424",,,
106,008770,호텔신라,"61,500","500","0.8","341,027","21,060,068,100","2,413,759,441,500","0.14","39,248,121",,,
107,006260,LS,"74,700","-300","-0.4","101,250","7,622,255,500","2,405,340,000,000","0.14","32,200,000",,,
108,051600,한전KPS,"52,700","1,400","2.7","246,067","12,904,919,800","2,371,500,000,000","0.14","45,000,000",,,
109,000150,두산,"116,000","1,000","0.9","101,109","11,790,786,500","2,344,091,808,000","0.13","20,207,688",,,
110,006360,GS건설,"32,000","-500","-1.5","948,037","30,424,517,750","2,278,623,424,000","0.13","71,206,982",,,
111,090435,아모레퍼시픽우,"212,500","1,000","0.5","6,944","1,459,501,000","2,243,538,875,000","0.13","10,557,830",,,
112,004170,신세계,"226,000","1,000","0.4","74,480","16,956,305,500","2,225,010,906,000","0.13","9,845,181",,,
113,030000,제일기획,"19,250","100","0.5","301,098","5,755,722,900","2,214,543,581,250","0.13","115,041,225",,,
114,005300,롯데칠성,"1,760,000","-6,000","-0.3","1,931","3,395,738,000","2,177,477,280,000","0.13","1,237,203",,,
115,010060,OCI,"90,400","400","0.4","341,071","30,710,915,300","2,155,983,138,400","0.12","23,849,371",,,
116,016170,로엔,"84,500","-300","-0.4","19,049","1,604,894,500","2,137,149,072,500","0.12","25,291,705",,,
117,000060,메리츠화재,"19,100","-200","-1.0","162,566","3,098,884,250","2,107,455,800,000","0.12","110,338,000",,,
118,138040,메리츠금융지주,"14,700","50","0.3","77,398","1,130,185,250","2,100,421,524,600","0.12","142,885,818",,,
119,006280,녹십자,"176,000","500","0.3","20,662","3,628,071,000","2,056,830,688,000","0.12","11,686,538",,,
120,004370,농심,"337,500","500","0.2","15,072","5,090,613,500","2,052,891,675,000","0.12","6,082,642",,,
121,002550,KB손해보험,"30,850","400","1.3","110,136","3,391,750,100","2,051,525,000,000","0.12","66,500,000",,,
122,041960,코미팜,"36,750","550","1.5","108,559","3,985,353,000","2,010,223,971,000","0.12","54,699,972",,,
123,010620,현대미포조선,"100,500","-3,000","-2.9","246,421","25,066,975,500","2,010,000,000,000","0.12","20,000,000",,,
124,036490,SK머티리얼즈,"190,500","-400","-0.2","48,941","9,358,651,200","2,009,331,706,500","0.12","10,547,673",,,
125,139130,DGB금융지주,"11,550","100","0.9","583,302","6,717,712,500","1,953,634,371,150","0.11","169,145,833",,,
126,011210,현대위아,"71,600","100","0.1","276,806","19,719,296,900","1,947,167,942,800","0.11","27,195,083",,,
127,039490,키움증권,"86,100","3,100","3.7","138,894","11,988,426,100","1,902,787,614,000","0.11","22,099,740",,,
128,000240,한국타이어월드와이드,"20,350","150","0.7","103,981","2,114,544,200","1,892,960,520,550","0.11","93,020,173",,,
129,064350,현대로템,"22,100","250","1.1","369,525","8,211,435,550","1,878,500,000,000","0.11","85,000,000",,,
130,042670,두산인프라코어,"9,010","-90","-1.0","2,330,630","21,004,175,460","1,869,172,379,140","0.11","207,455,314",,,
131,000670,영풍,"1,011,000","16,000","1.6","3,867","3,891,299,000","1,862,302,440,000","0.11","1,842,040",,,
132,161890,한국콜마,"88,000","900","1.0","169,873","14,897,281,600","1,856,813,288,000","0.11","21,100,151",,,
133,003520,영진약품,"10,150","190","1.9","2,781,000","28,023,885,930","1,856,361,219,650","0.11","182,892,731",,,
134,005610,SPC삼립,"214,000","-500","-0.2","6,313","1,353,131,000","1,846,607,926,000","0.11","8,629,009",,,
135,006650,대한유화,"280,500","4,000","1.4","121,557","34,433,065,500","1,823,250,000,000","0.10","6,500,000",,,
136,079550,LIG넥스원,"82,400","-1,400","-1.7","48,958","4,054,328,400","1,812,800,000,000","0.10","22,000,000",,,
137,001740,SK네트웍스,"7,250","-70","-1.0","1,736,181","12,606,320,710","1,799,360,440,750","0.10","248,187,647",,,
138,079160,CJ CGV,"84,500","3,700","4.6","267,671","22,286,067,500","1,788,130,948,500","0.10","21,161,313",,,
